epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9714,1.05834,2.96018,1.26929,0.70999,0.60024,0.67298,0.49528,1.07548,1.55205,1.25164,0.00019459,0.00019459,0.00019459
2,79.4787,1.10115,1.83331,1.29235,0.67869,0.69128,0.72422,0.52415,1.09931,1.41369,1.2536,0.000380923,0.000380923,0.000380923
3,117.423,1.10012,1.67957,1.27533,0.75277,0.69833,0.75911,0.55361,1.09425,1.41383,1.25857,0.000557554,0.000557554,0.000557554
4,154.883,1.0846,1.57459,1.26527,0.67759,0.67405,0.71466,0.51132,1.18563,1.40756,1.34288,0.000544341,0.000544341,0.000544341
5,191.681,1.08169,1.52765,1.26274,0.74893,0.69789,0.76848,0.5612,1.11314,1.26441,1.26985,0.000529788,0.000529788,0.000529788
6,227.144,1.05706,1.44506,1.24065,0.77401,0.72447,0.76792,0.54685,1.13224,1.26092,1.27257,0.000515235,0.000515235,0.000515235
7,262.959,1.0509,1.3868,1.23173,0.77563,0.70442,0.75853,0.54774,1.05109,1.16949,1.22391,0.000500682,0.000500682,0.000500682
8,299.824,1.02762,1.31955,1.21698,0.78505,0.70831,0.76505,0.56379,1.03854,1.13522,1.20457,0.000486129,0.000486129,0.000486129
9,336.699,0.99931,1.26753,1.20721,0.8098,0.74511,0.78139,0.57758,1.04875,1.12778,1.20386,0.000471576,0.000471576,0.000471576
10,372.79,1.00563,1.25332,1.21164,0.8087,0.7241,0.77227,0.57295,1.0279,1.14139,1.20625,0.000457023,0.000457023,0.000457023
11,409.185,0.99918,1.20832,1.19742,0.76667,0.71148,0.78581,0.57231,1.04271,1.12473,1.19895,0.00044247,0.00044247,0.00044247
12,445.058,0.97173,1.16293,1.1858,0.7802,0.76121,0.8055,0.61515,1.01087,1.05524,1.1712,0.000427917,0.000427917,0.000427917
13,480.29,0.94654,1.12645,1.18037,0.80135,0.75557,0.79633,0.60662,0.96079,1.02413,1.16363,0.000413364,0.000413364,0.000413364
14,517.053,0.96251,1.11563,1.17564,0.82651,0.74607,0.80881,0.60263,1.03712,1.0176,1.20197,0.000398811,0.000398811,0.000398811
15,553.025,0.96345,1.08341,1.17258,0.82607,0.76436,0.81255,0.61372,0.97529,0.97183,1.16209,0.000384258,0.000384258,0.000384258
16,589.621,0.92585,1.05899,1.15892,0.81973,0.74589,0.81997,0.62471,1.00453,0.96896,1.17909,0.000369705,0.000369705,0.000369705
17,625.986,0.91512,1.0331,1.15366,0.83814,0.74409,0.81856,0.62176,0.97126,0.98662,1.14941,0.000355152,0.000355152,0.000355152
18,662.605,0.90852,1.02057,1.15064,0.81335,0.7881,0.82312,0.62132,0.94225,0.97816,1.12656,0.000340599,0.000340599,0.000340599
19,700.316,0.90424,0.99994,1.14749,0.85196,0.7654,0.82346,0.6254,0.96194,0.92682,1.14881,0.000326046,0.000326046,0.000326046
20,737.549,0.89514,0.96516,1.14155,0.8579,0.73567,0.82185,0.62255,0.9576,0.97611,1.14845,0.000311493,0.000311493,0.000311493
21,774.401,0.8911,0.95573,1.13491,0.86809,0.76703,0.83287,0.63729,0.95843,0.88263,1.153,0.00029694,0.00029694,0.00029694
22,811.824,0.88716,0.92936,1.12298,0.85418,0.77841,0.8431,0.64954,0.92081,0.85573,1.12263,0.000282387,0.000282387,0.000282387
23,848.606,0.87942,0.92232,1.12168,0.87023,0.74982,0.83466,0.62793,0.9431,0.87388,1.15327,0.000267834,0.000267834,0.000267834
24,885.747,0.86427,0.89531,1.11918,0.85749,0.78079,0.82534,0.6408,0.92318,0.87703,1.12492,0.000253281,0.000253281,0.000253281
25,922.675,0.84027,0.88325,1.11664,0.84028,0.78074,0.83279,0.64981,0.91577,0.88229,1.12473,0.000238728,0.000238728,0.000238728
26,959.43,0.83049,0.86957,1.10593,0.81683,0.81032,0.84643,0.66122,0.89239,0.82114,1.11619,0.000224175,0.000224175,0.000224175
27,996.491,0.85118,0.86748,1.11005,0.84092,0.80153,0.84503,0.65431,0.91788,0.82945,1.12762,0.000209622,0.000209622,0.000209622
28,1033.73,0.83768,0.84624,1.09697,0.82211,0.81748,0.84866,0.66417,0.89429,0.7918,1.10102,0.000195069,0.000195069,0.000195069
29,1071.11,0.8416,0.83787,1.10686,0.81182,0.81138,0.83853,0.65992,0.89978,0.84436,1.10196,0.000180516,0.000180516,0.000180516
30,1108.63,0.8463,0.83705,1.10721,0.85777,0.78841,0.84354,0.65058,0.89546,0.80488,1.10816,0.000165963,0.000165963,0.000165963
31,1146.6,0.78978,0.78757,1.06468,0.8461,0.81782,0.84291,0.6525,0.91411,0.81423,1.12301,0.00015141,0.00015141,0.00015141
